7.536407,38,7.536445,53,
8.530088,30,8.530150,56,
9.532715,21,9.532739,54,
10.540225,38,10.540259,56,
11.513889,63,11.513941,44,
12.524026,81,12.524050,50,
13.513962,100,13.514039,56,
14.508863,88,14.508898,37,
15.496431,81,15.496453,37,
16.491380,87,16.491407,37,
17.485127,75,17.485172,41,
18.476529,90,18.476553,60,
19.483941,70,19.483993,75,
20.470266,64,20.470286,78,
21.460274,53,21.460300,66,
22.477692,57,22.477732,60,
23.469098,80,23.469121,44,
24.455347,78,24.455372,35,
25.444054,80,25.444100,44,
26.438028,87,26.438061,60,
27.441655,78,27.441693,54,
28.442820,66,28.442878,50,
29.410450,78,29.410476,37,
30.431721,61,30.431774,24,
31.419178,54,31.419235,30,
32.466732,57,32.466770,54,
33.409194,27,33.409250,57,
34.396847,10,34.396987,61,
